Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2008112552754,2008-11-21 00:00:00,2008-09-09 00:00:00,SLC,Salt Lake City International Airport,Delta Air Lines,Property Damage,Checked Baggage,Dishes; Pottery; Glassware; Plasticware,275.0,Approved,275.0,Approve in Full,73.0,0.0
2005031778570,2005-02-03 00:00:00,2005-02-10 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,165.0,Settled,82.5,Settle,-7.0,82.5
2009080462234,2009-07-31 00:00:00,2009-07-22 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Property Damage,Checked Baggage,Dishes; Pottery; Glassware; Plasticware; Locks,38.69,Denied,0.0,Deny,9.0,38.69
2006040704243,2006-03-29 00:00:00,2006-03-16 00:00:00,RIC,Richmond International,USAir,Property Damage,Checked Baggage,Other,499.99,Settled,150.0,Settle,13.0,349.99
2005081090318,2005-08-02 00:00:00,2005-07-16 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,12.0,Denied,0.0,Deny,17.0,12.0
2004111767283,2004-10-01 00:00:00,2004-06-30 00:00:00,LGA,LaGuardia,Delta (Song),Passenger Property Loss,Checked Baggage,Jewelry - Fine,679.69,Settled,572.72,Settle,93.0,106.97000000000003
2005012674431,2005-01-07 00:00:00,2004-12-17 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,90.0,Settled,45.0,Settle,21.0,45.0
2009052859569,2009-05-22 00:00:00,2009-04-17 00:00:00,CHO,Charlottesville / Albemarle,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),65.0,Denied,0.0,Deny,35.0,65.0
0708047M,2003-07-08 00:00:00,2003-05-24 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Locks,200.0,Denied,0.0,Deny,45.0,200.0
2009061560155,2009-06-12 00:00:00,2009-08-06 00:00:00,LIH,Lihue Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Locks,57.38,Denied,0.0,Deny,-55.0,57.38
2008031741173,2008-03-07 00:00:00,2008-02-05 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.99,Denied,0.0,Deny,31.0,149.99
2004051351683,2004-03-30 00:00:00,2004-02-28 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,30.0,Approved,30.0,Approve in Full,31.0,0.0
1107113M,2003-11-07 00:00:00,2003-09-27 00:00:00,STT,Cyril E. King International,American Airlines,Property Damage,Checked Baggage,Other,20.55,Approved,20.55,Approve in Full,41.0,0.0
2007112935642,2007-11-26 00:00:00,2007-11-17 00:00:00,PDX,Portland International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,349.99,Denied,0.0,Deny,9.0,349.99
2007121936683,2007-12-14 00:00:00,2007-12-09 00:00:00,DAL,Dallas Love Field,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),140.0,Denied,0.0,Deny,5.0,140.0
2005091992683,2005-09-08 00:00:00,2005-08-27 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,760.0,Denied,0.0,Deny,12.0,760.0
2007082130639,2007-08-20 00:00:00,2007-08-12 00:00:00,MKE,General Mitchell International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency; Handbags & Purses (leather or fabric); Other,437.0,Denied,0.0,Deny,8.0,437.0
2007050124786,2007-04-27 00:00:00,2007-04-13 00:00:00,RSW,Southwest Florida International,American Airlines,Property Damage,Checkpoint,Cell Phones; PDA - Personal Data Assistants,559.98,Settled,508.08,Settle,14.0,51.900000000000034
2005012874850,2005-01-12 00:00:00,2004-12-17 00:00:00,ORD,Chicago O'Hare International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital,349.0,Settled,331.75,Settle,26.0,17.25
2006051706537,2006-05-16 00:00:00,2006-05-09 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Boxes - Jewelry; Cigarette; Music; etc.; Handbags & Purses (leather or fabric); Jewelry - Fine,700.0,Denied,0.0,Deny,7.0,700.0
2004062156606,2004-05-27 00:00:00,2004-05-08 00:00:00,LGA,LaGuardia,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),160.0,Settled,25.0,Settle,19.0,135.0
2006022402109,2006-02-21 00:00:00,2006-01-14 00:00:00,MRY,Monterey Peninsula Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),125.0,Denied,0.0,Deny,38.0,125.0
0723023M,2003-07-23 00:00:00,2003-06-05 00:00:00,RSW,Southwest Florida International,Continental Airlines,Property Damage,Checked Baggage,Other,75.0,Approved,75.0,Approve in Full,48.0,0.0
2008082549088,2008-08-22 00:00:00,2008-08-21 00:00:00,EWR,Newark International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers); Toys (game systems; cartridges; radio controlled cars; etc.),250.0,Denied,0.0,Deny,1.0,250.0
2005072589620,2005-07-22 00:00:00,2005-06-11 00:00:00,FNT,Bishop International; Flint,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,696.49,Settled,525.23,Settle,41.0,171.26
2005082691643,2005-08-23 00:00:00,2005-06-18 00:00:00,PHX,Phoenix Sky Harbor International,American West,Passenger Property Loss,Checked Baggage,Other,165.0,Denied,0.0,Deny,66.0,165.0
2005111796205,2005-11-04 00:00:00,2005-10-16 00:00:00,MCO,Orlando International Airport,Independence Air,Property Damage,Checked Baggage,Luggage (all types including footlockers),139.0,Denied,0.0,Deny,19.0,139.0
2004091563019,2004-08-09 00:00:00,2004-06-12 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),300.0,Denied,0.0,Deny,58.0,300.0
2006020200875,2006-01-26 00:00:00,2006-01-01 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,24.0,Approved,24.0,Approve in Full,25.0,0.0
2005032579832,2005-03-09 00:00:00,2005-02-23 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,244.13,Denied,0.0,Deny,14.0,244.13
1002076M,2003-10-02 00:00:00,2003-09-16 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.11,Settled,75.06,Settle,16.0,75.05000000000001
2005032980251,2005-03-16 00:00:00,2005-02-23 00:00:00,DRO,Durango - La Plata County; CO,UAL,Property Damage,Checked Baggage,Other,100.0,Approved,100.0,Approve in Full,21.0,0.0
2009060959970,2009-06-08 00:00:00,2009-04-15 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checkpoint,Automobile Parts,193.44,Denied,0.0,Deny,54.0,193.44
2007121836638,2007-12-13 00:00:00,2007-12-09 00:00:00,SJU,Luis Munoz Marin International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,48.0,Denied,0.0,Deny,4.0,48.0
2005020475641,2005-01-19 00:00:00,2005-01-08 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,260.0,Settled,130.0,Settle,11.0,130.0
2009021755612,2009-02-04 00:00:00,2009-01-15 00:00:00,GPT,Gulfport-Biloxi International,Continental Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),149.99,Denied,0.0,Deny,20.0,149.99
2005082391198,2005-08-12 00:00:00,2005-07-15 00:00:00,TUS,Tucson International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),30.0,Settled,20.0,Settle,28.0,10.0
2009092964135,2009-09-28 00:00:00,2009-09-03 00:00:00,SAN,San Diego International,American Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),390.0,Denied,0.0,Deny,25.0,390.0
2006021001313,2006-02-03 00:00:00,2005-11-04 00:00:00,MIA,Miami International Airport,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Other,43.77,Approved,43.77,Approve in Full,91.0,0.0
2005120797096,2005-11-23 00:00:00,2005-11-13 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,331.64,Denied,0.0,Deny,10.0,331.64
2008120152938,2008-11-25 00:00:00,2008-11-15 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,20.0,Denied,0.0,Deny,10.0,20.0
2005041282344,2005-04-12 00:00:00,2005-03-23 00:00:00,PBI,Palm Beach International,American Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,31.75,Denied,0.0,Deny,20.0,31.75
2006073110266,2006-07-27 00:00:00,2006-07-19 00:00:00,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Fish/Game,184.65,Settled,92.32,Settle,8.0,92.33000000000001
2004070658564,2004-06-17 00:00:00,2004-05-05 00:00:00,DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,240.0,Approved,240.0,Approve in Full,43.0,0.0
0204048L,2003-02-04 00:00:00,2003-01-14 00:00:00,BHM,Birmingham International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer - Laptop,1940.0,Denied,1940.0,Deny,21.0,0.0
2005093093567,2005-09-19 00:00:00,2005-07-27 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Continental Airlines,Property Damage,Checked Baggage,Other,87.83,Denied,0.0,Deny,54.0,87.83
2009031856445,2009-02-27 00:00:00,2009-02-19 00:00:00,AVP,Wilkes-Barre/Scranton International,Continental Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),584.0,Denied,0.0,Deny,8.0,584.0
2007030521898,2007-02-27 00:00:00,2006-11-20 00:00:00,IAD,Washington Dulles International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),111.01,Approved,111.01,Approve in Full,99.0,0.0
2005061086221,2005-06-01 00:00:00,2005-05-18 00:00:00,BDL,Bradley International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,549.95,Settled,496.83,Settle,14.0,53.12000000000006
2007012519520,2007-01-22 00:00:00,2006-12-22 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Currency,25.0,Denied,0.0,Deny,31.0,25.0
2008011037704,2008-01-07 00:00:00,2007-12-23 00:00:00,MEM,Memphis International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; DVD/CD Players; Other,230.0,Denied,0.0,Deny,15.0,230.0
2004051451955,2004-04-01 00:00:00,2003-06-02 00:00:00,IND,Indianapolis International,USAir,Passenger Property Loss,Checked Baggage,DVD/CD Players,110.0,Approved,110.0,Approve in Full,304.0,0.0
0221002L,2003-02-21 00:00:00,2003-01-23 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Locks,50.0,Denied,50.0,Deny,29.0,0.0
2008042343260,2008-04-17 00:00:00,2008-01-22 00:00:00,TPA,Tampa International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Other; Other,274.96,Denied,0.0,Deny,86.0,274.96
2006122017509,2006-12-09 00:00:00,2006-11-20 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,50.0,Denied,0.0,Deny,19.0,50.0
2005072589638,2005-07-22 00:00:00,2004-12-16 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Other,559.0,Denied,0.0,Deny,218.0,559.0
2004122270526,2004-11-16 00:00:00,2004-09-20 00:00:00,LAX,Los Angeles International Airport,America Trans Air,Passenger Property Loss,Checked Baggage,Other,100.0,Denied,0.0,Deny,57.0,100.0
2009120866213,2009-12-01 00:00:00,2009-11-19 00:00:00,SAT,San Antonio International,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,99.1,Denied,0.0,Deny,12.0,99.1
2007082430812,2007-08-22 00:00:00,2007-08-05 00:00:00,OGG,Kahului-Maui; HI,ATA Aerocondor,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),29.99,Settled,14.98,Settle,17.0,15.009999999999998
2009092864045,2009-09-24 00:00:00,2009-09-22 00:00:00,RDU,Raleigh-Durham International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,40.0,Approved,40.0,Approve in Full,2.0,0.0
2007022821654,2007-02-27 00:00:00,2007-02-11 00:00:00,LIH,Lihue Airport,Iceland Air,Property Damage,Checked Baggage,Luggage (all types including footlockers),78.08,Settled,50.0,Settle,16.0,28.08
0815006M,2003-08-15 00:00:00,2003-08-03 00:00:00,EWR,Newark International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,207.0,Approved,207.0,Approve in Full,12.0,0.0
2009100964477,2009-10-08 00:00:00,2009-09-24 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,10.88,Denied,0.0,Deny,14.0,10.88
2004080960736,2004-07-15 00:00:00,2004-05-17 00:00:00,HNL,Honolulu International Airport,Qantus Airways,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,100.0,Denied,0.0,Deny,59.0,100.0
2004071659649,2004-06-28 00:00:00,2004-05-19 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),187.98,Denied,0.0,Deny,40.0,187.98
2006082911733,2006-08-24 00:00:00,2006-08-13 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,32.42,Approved,32.42,Approve in Full,11.0,0.0
0312037M,2004-03-12 00:00:00,2003-01-11 00:00:00,MCO,Orlando International Airport,America Trans Air,Passenger Property Loss,Checked Baggage,Cameras - Digital,1350.0,Settled,675.0,Settle,426.0,675.0
2007091131642,2007-09-06 00:00:00,2007-04-11 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,259.39,Denied,0.0,Deny,148.0,259.39
2007040223367,2007-03-30 00:00:00,2007-03-22 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Property Damage,Checked Baggage,Computer - Laptop,543.84,Denied,0.0,Deny,8.0,543.84
2008021239446,2008-02-01 00:00:00,2007-12-28 00:00:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,26.98,Denied,0.0,Deny,35.0,26.98
2004070858817,2004-06-03 00:00:00,2007-03-22 00:00:00,IND,Indianapolis International,USAir,Property Damage,Checked Baggage,Locks,75.0,Denied,0.0,Deny,-1022.0,75.0
0729097M,2003-07-29 00:00:00,2003-07-14 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),87.77,Settled,44.0,Settle,15.0,43.769999999999996
2004102765689,2004-09-10 00:00:00,2004-08-18 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,130.0,Denied,0.0,Deny,23.0,130.0
2009041657624,2009-03-27 00:00:00,2009-03-05 00:00:00,DAY,James M. Cox Dayton International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,100.0,Denied,0.0,Deny,22.0,100.0
2004071359217,2004-06-22 00:00:00,2004-05-31 00:00:00,IAD,Washington Dulles International,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),226.49,Settled,50.0,Settle,22.0,176.49
2008042843471,2008-04-24 00:00:00,2008-02-15 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,9.49,Approved,9.49,Approve in Full,69.0,0.0
2008062546161,2008-06-23 00:00:00,2008-06-08 00:00:00,SEA,Seattle-Tacoma International,USAir,Passenger Property Loss,Checkpoint,Cameras - Digital,279.99,Denied,0.0,Deny,15.0,279.99
0325029L,2003-03-25 00:00:00,2003-02-16 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,160.0,Approved,160.0,Approve in Full,37.0,0.0
2006090712120,2006-08-30 00:00:00,2006-08-19 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cell Phones; MP3 Players-(iPods; etc),372.5,Denied,0.0,Deny,11.0,372.5
2004060454726,2004-04-04 00:00:00,2004-04-09 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,39.99,Approved,39.99,Approve in Full,-5.0,0.0
2006021401549,2006-02-14 00:00:00,2006-02-06 00:00:00,TUS,Tucson International,Southwest Airlines,Property Damage,Checked Baggage,PDA - Personal Data Assistants,386.48,Denied,0.0,Deny,8.0,386.48
2005101294414,2005-10-04 00:00:00,2005-09-10 00:00:00,PDX,Portland International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,29.98,Approved,29.98,Approve in Full,24.0,0.0
2009110465113,2009-10-29 00:00:00,2009-09-25 00:00:00,BNA,Nashville International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,481.96,Denied,0.0,Deny,34.0,481.96
2004061555871,2004-03-18 00:00:00,2003-08-22 00:00:00,PHX,Phoenix Sky Harbor International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1445.0,Approved,1445.0,Approve in Full,209.0,0.0
2005071288739,2005-07-11 00:00:00,2005-06-25 00:00:00,MDW,Midway International Airport,Air Tran Airlines(do not use),Property Damage,Checkpoint,Other,35.0,Approved,35.0,Approve in Full,16.0,0.0
0707011M,2003-07-07 00:00:00,2003-06-06 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,115.4,Settled,57.7,Settle,31.0,57.7
2009081062462,2009-08-07 00:00:00,2009-07-28 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,25.92,Denied,0.0,Deny,10.0,25.92
2008121153273,2008-12-05 00:00:00,2008-02-21 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Approved,100.0,Approve in Full,288.0,0.0
2006090712098,2006-08-30 00:00:00,2006-08-28 00:00:00,DCA,Ronald Reagan Washington National Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Eyeglasses - (including contact lenses),619.0,Denied,0.0,Deny,2.0,619.0
2008041042296,2008-04-01 00:00:00,2008-02-08 00:00:00,SAN,San Diego International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,40.0,Settled,20.0,Settle,53.0,20.0
2006110915404,2006-11-03 00:00:00,2006-10-04 00:00:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Cameras - Digital,174.98,Approved,174.98,Approve in Full,30.0,0.0
0520175L,2003-05-20 00:00:00,2003-04-29 00:00:00,SEA,Seattle-Tacoma International,Continental Airlines,Property Damage,Checked Baggage,Other,90.0,Approved,90.0,Approve in Full,21.0,0.0
2006071209349,2006-07-11 00:00:00,2006-06-06 00:00:00,STL,Lambert St. Louis International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,22.42,Approved,22.42,Approve in Full,35.0,0.0
2008090449442,2008-09-03 00:00:00,2008-08-16 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital,261.88,Settled,130.94,Settle,18.0,130.94
2007061527031,2007-06-14 00:00:00,2007-06-12 00:00:00,BOS,Boston (Logan) International Airport,British Airways,Passenger Property Loss,Checked Baggage,Locks,500.0,Denied,0.0,Deny,2.0,500.0
2005031878739,2005-03-02 00:00:00,2005-02-13 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,300.0,Denied,0.0,Deny,17.0,300.0
2006010598816,2005-12-28 00:00:00,2005-11-14 00:00:00,ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,63.87,Approved,63.87,Approve in Full,44.0,0.0
2006110615244,2006-11-01 00:00:00,2006-10-28 00:00:00,IND,Indianapolis International,Continental Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,114.71,Approved,114.71,Approve in Full,4.0,0.0
0212253M,2004-02-12 00:00:00,2004-01-31 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,76.5,Approved,76.5,Approve in Full,12.0,0.0
2008120553161,2008-11-28 00:00:00,2008-02-23 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,587.81,Denied,0.0,Deny,279.0,587.81
2005041382448,2005-04-12 00:00:00,2005-03-28 00:00:00,AUS,Austin-Bergstrom International Airport,Northwest Airlines,Property Damage,Checkpoint,Jewelry - Fine,256.8,Settled,192.6,Settle,15.0,64.20000000000002
2007061426884,2007-06-11 00:00:00,2007-05-24 00:00:00,DFW,Dallas-Fort Worth International Airport,Midwest Express Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),37.52,Settled,18.76,Settle,18.0,18.76
1022456M,2003-10-22 00:00:00,2003-09-14 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,350.0,Settled,175.0,Settle,38.0,175.0
0223200M,2004-02-23 00:00:00,2003-12-24 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),259.99,Denied,0.0,Deny,61.0,259.99
2006033003820,2006-03-21 00:00:00,2006-03-14 00:00:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,190.0,Approved,190.0,Approve in Full,7.0,0.0
2005031578265,2005-02-16 00:00:00,2005-01-23 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),125.0,Settled,25.0,Settle,24.0,100.0
2007092732658,2007-09-25 00:00:00,2007-06-16 00:00:00,MKE,General Mitchell International Airport,Northwest Airlines,Property Damage,Checkpoint,Locks,21.11,Approved,21.11,Approve in Full,101.0,0.0
2008012938798,2008-01-24 00:00:00,2007-01-12 00:00:00,DSM,Des Moines International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,181.5,Denied,0.0,Deny,377.0,181.5
2004052153038,2004-04-15 00:00:00,2004-03-11 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Property Damage,Checked Baggage,Locks,434.5,Denied,0.0,Deny,35.0,434.5
2007102533932,2007-10-22 00:00:00,2007-10-02 00:00:00,SAT,San Antonio International,Southwest Airlines,Property Damage,Checked Baggage,Professional Equipment,639.0,Settled,234.86,Settle,20.0,404.14
2007071828576,2007-07-12 00:00:00,2007-05-31 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,98.0,Denied,0.0,Deny,42.0,98.0
2009022055670,2009-02-06 00:00:00,2008-12-21 00:00:00,VPS,Okaloosa/ Northwest Florida,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cell Phones,329.99,Denied,0.0,Deny,47.0,329.99
2005013174944,2005-01-14 00:00:00,2004-12-20 00:00:00,SJC,Norman Y Mineta San Jose International,American Airlines,Passenger Property Loss,Checked Baggage,Other,152.92,Approved,152.92,Approve in Full,25.0,0.0
2004122370774,2004-12-07 00:00:00,2004-11-30 00:00:00,DCA,Ronald Reagan Washington National Airport,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),500.0,Denied,0.0,Deny,7.0,500.0
2005102094940,2005-10-12 00:00:00,2005-06-16 00:00:00,MBS,MBS International,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Settled,50.0,Settle,118.0,50.0
2004110566492,2004-10-18 00:00:00,2004-09-18 00:00:00,DSM,Des Moines International,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,399.99,Approved,399.99,Approve in Full,30.0,0.0
2005060986085,2005-05-31 00:00:00,2005-03-30 00:00:00,SEA,Seattle-Tacoma International,Sun Country Airlines Inc,Passenger Property Loss,Checked Baggage,Other,725.0,Settled,362.5,Settle,62.0,362.5
2004070858835,2004-06-22 00:00:00,2004-05-07 00:00:00,MIA,Miami International Airport,Continental Airlines,Property Damage,Checked Baggage,Locks,105.99,Denied,0.0,Deny,46.0,105.99
2009013055035,2009-01-21 00:00:00,2008-12-19 00:00:00,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),85.46,Denied,0.0,Deny,33.0,85.46
2008072447355,2008-07-15 00:00:00,2008-06-19 00:00:00,LSE,La Crosse Municipal,Northwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,26.0,0.0
2008121153288,2008-12-12 00:00:00,2008-11-24 00:00:00,PHF,Newport News / Williamsburg International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,375.0,Denied,0.0,Deny,18.0,375.0
0318061L,2003-03-18 00:00:00,2003-02-27 00:00:00,SMF,Sacramento International Airport,America West,Passenger Property Loss,Checked Baggage,Other,20.0,Settled,10.0,Settle,19.0,10.0
0624090M,2003-06-24 00:00:00,2003-05-20 00:00:00,BDL,Bradley International Airport,Lufthansa,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,180.0,Denied,0.0,Deny,35.0,180.0
2007082130550,2007-08-17 00:00:00,2007-08-09 00:00:00,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),55.24,Approved,55.24,Approve in Full,8.0,0.0
1217667M,2003-12-17 00:00:00,2003-11-29 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,52.0,Settled,26.0,Settle,18.0,26.0
2005010372185,2004-12-07 00:00:00,2004-10-29 00:00:00,BIL,Billings; MT,Northwest Airlines,Passenger Property Loss,Other,Other,325.0,Settled,162.5,Settle,39.0,162.5
0910089M,2003-09-10 00:00:00,2003-07-10 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Cameras - Digital,50.0,Approved,50.0,Approve in Full,62.0,0.0
0223007M,2004-02-23 00:00:00,2004-01-29 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),39.99,Approved,39.99,Approve in Full,25.0,0.0
2005070788435,2005-07-07 00:00:00,2005-06-16 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,630.5,Denied,0.0,Deny,21.0,630.5
